3291871McRinn         Christabel120190301100000000058402000092846000915346
1218938Parratt        Hugh      320201201100000000089601000030742000808291
8052063Dunthorn       Andras    320191015100000000011901000027242000638222
7960814Templar        Mickey    220180415075000000049402000038667000401024
4960878Klimentov      Cele      220190115075000000035501000092450000606224
1361202Danhel         Dasha     120190715100000000071402000024041000437364
0113313Busswell       Essy      320190201100000000096801000071906000641747
1392718Rodders        Ursola    220201015075000000020402000062109000579933
7112160Caddock        Truda     220191001075000000095701000075744000588102
5209136Mebius         Kent      320180101075000000076902000058595000743144
5362484Tapton         Moishe    120190701075000000053201000030593000601297
8285113Cottham        Jillane   320190415100000000038802000053986000721194
5149171Papis          Sasha     320200515075000000002901000070163000901744
8626100McIlenna       Griffy    320200115100000000016602000058300000166663
9865620Lebbern        Drona     220191101075000000089801000020501000024804
4026129Wellstood      Kirby     320180501100000000066902000042270000642561
3246055Tinkham        Roxana    320200515100000000053902000093514000082512
5578475Acors          Ced       220190115100000000094602000009744000056994
4858997Ruegg          Edik      320181215075000000084702000085953000911301
8773255Wheelhouse     Pen       320190201075000000076502000060108000520663
3299092Kahler         Claudina  220190215075000000088101000074351000864906
8082064Aysik          Gaylord   320180501075000000043101000089513000068781
6663995Youles         Martina   220190801100000000099201000046646000960772
6063031Daveran        Roxie     320190901100000000070902000054499000713086
3026998Getsham        Bjorn     220200215100000000035502000094837000840462
4239479Lomasny        Ebba      120200801075000000087701000064990000740399
9748797Dando          Abe       220200301075000000041802000055486000960309
0295656Ferfulle       Nils      220190115100000000005101000080544000680302
4042404Vogeller       Ferrell   220180301075000000023902000044386000394241
1635346Roelofs        Karrie    220190301100000000028502000049960000164113
8050592Sorton         Shaina    220190801075000000046101000094184000557807
6901541Tripean        Johannes  320190615075000000004401000011361000695107
9510741Fiddiman       Mattie    320200701100000000014302000009923000012238
6660206Steele         Lynsey    120200315100000000008302000093352000167199
6266066Budget         Lydie     220200601075000000011401000061851000952934
3716179Thridgould     Everard   120190615075000000035402000062206000635308
5877761Catherick      Reta      320190901100000000048502000008193000912423
2701909MacGillespie   Dewey     320200201100000000099202000005721000822592
3926327Cusiter        Renaud    320191101075000000011902000095818000760608
8497567Barron         Lynelle   120180901075000000046101000091558000481130
2108873Jaycox         Darya     320200801075000000058901000080047000875540
7723937O'Regan        Zulema    320180615075000000038801000027727000620871
9208274McReath        Adah      120181115075000000019601000086102000006902
6651875Plumer         Jennee    320181001075000000002601000049239000733414
3484888Pendered       Tracee    120180901075000000066002000062585000720149
5499074Budgeon        Ron       120190815100000000029102000087056000824722
6048592Dashkov        Robinetta 120190515100000000090502000014913000206119
3605456Fasse          Austina   120200415075000000072102000060390000915042
3719763Klimkowski     Arvie     120201215075000000074902000096644000167094
8472837Littleover     Janean    320200715100000000045302000042855000162132
6008098Maidment       Courtney  120180101100000000085202000093770000546866
2650116Leetham        Guy       120181201075000000022002000086881000322194
5614306Stag           Tessie    320180401100000000064801000034197000739652
3594599McGibbon       Janel     220190101100000000016901000027443000700274
8331000Velten         Andree    220200601075000000054602000021777000774303
1068365DelaField      Guenevere 320190815100000000039802000031439000968520
5446971Briatt         Ignacius  220180215075000000018002000096932000905546
5409618Addey          Ben       220181115100000000026402000040038000813612
1853742Mosedill       Hector    320181015075000000045901000065707000151488
8542670Rudolfer       Packston  320201215075000000039401000035051000613955
3193263Surgison       Dale      120180115075000000047301000050113000318900
6766578Teggart        Ricard    120181015100000000010301000082157000240609
3563069Rivelon        Katrinka  320180615100000000060702000000396000733607
5832137Parlett        Forest    220191015100000000099102000077431000556519
7911751Batcock        Dacie     320180501075000000049901000028666000444382
5720691Brownsey       Arlan     320180501075000000080101000003021000311062
1988888Tures          Kara-lynn 220200301075000000029802000055606000000523
3682418Naisbitt       Raychel   220200915075000000084401000055242000333173
7637718Helian         Markos    120190901075000000071202000052293000163969
6580141Blakeman       Ruggiero  120190301075000000018801000030730000626697
9411441Fairn          Cathrine  220200401100000000022102000090686000709932
0913534Marmion        Lorraine  320190401100000000072402000000968000830470
2200186Isakson        Stormy    320180515075000000078801000089474000550298
1738887Kunzler        Julee     120200115075000000081102000070431000512196
1638826Andriulis      Carmita   220200515075000000066101000082679000210263
5938534Lehrian        Bette-ann 120200315075000000042802000001347000101419
0240486Weaben         Myca      320180715100000000073501000081214000815729
5939324O'Kinedy       Mariann   120200601100000000091002000075452000373485
2815459Tanslie        Alvy      220180501100000000053301000074161000347743
6002060Woodison       Reinhold  220181201075000000085701000082659000897788
2261466Eustice        Alica     220180715075000000044501000055768000695640
0583543O'Sherin       Bren      220180801100000000055902000079941000656702
2946216Schult         Bevon     120200715100000000050802000076513000591669
9968396Ferreli        Marchelle 120190801075000000071001000004625000663287
7620922Christopher    Jeremias  220180715100000000063301000016615000663258
6152853Belford        Melvin    320191001075000000037301000096126000301926
9808396Mattheissen    Reeba     320200415100000000076902000090126000886687
9016058Weymouth       Tommie    120180715075000000069601000061243000860566
7672836Mathys         Odelle    320200901075000000044001000067119000789226
3313670Newberry       Keefe     220190801100000000063001000011131000159514
3959796Kernoghan      Jacinta   320181015100000000051701000056443000856750
1438361Tremain        Nevile    320200501075000000080402000067282000944371
8622559O'Carmody      Cristian  320191101100000000066101000040138000631667
3398048Schafer        Dudley    320200701075000000014102000028441000909632
8558081Jouanot        Aindrea   220191115100000000083902000023029000086148
2351362Outlaw         Courtenay 220190315100000000046202000037161000191259
8847367Benjefield     Edmund    320201001100000000014102000033346000039765
1717308Conrard        Guillaume 120200501075000000051802000015159000448944
5233710Trippitt       Sherm     220190615100000000081401000017240000124008
7586097Chambers       Onida     220180915075000000030902000050304000649304
2903417Cade           Lilian    220180201075000000040402000025904000723677
3806293Rugge          Jaine     320191101075000000010101000055951000473311
2784148Dorber         Savina    120180201100000000088601000053493000424419
1932567Biaggioni      Locke     220200715100000000064502000020808000983611
2038709Royden         Dorey     120180201075000000000602000067292000779796
3216807Hothersall     Arabela   320180715100000000073002000064825000334937
8445040Danslow        Nap       320180401075000000028102000003141000584955
6374431Spandley       Nathalie  220180715100000000039601000005793000316903
6480356Osburn         Torrey    220190915100000000016701000088738000293090
4249166Sotworth       Hadlee    220180701100000000078401000090244000361964
8685333Pancoust       Lilith    120180501100000000068902000075172000410850
5580813Hellin         Johannes  120190601075000000010201000008598000170333
1679637McCorkell      Vivianna  320180101100000000063101000007064000120119
2139376Schuchmacher   Donetta   120190701075000000080601000030760000629037
4446819Deaves         Maddy     120200301100000000058101000071361000431863
4186901Jina           Nicol     320200601075000000003901000088392000505239
5055488Phillip        Sanson    220190401075000000039601000080990000530132
9258163Netherclift    Urbain    320180101100000000044001000047660000326189
7508813Bust           Keary     220200601075000000067702000018758000834513
9950583Govier         Kaiser    120190301100000000079802000095222000458653
6326903Rubinow        Vyky      120200301075000000010801000076847000191046
9329630Wreiford       Kathryn   120180415075000000084701000017039000010635
3286820Ert            Reiko     120180615100000000085401000085928000712277
9163325Norris         Maura     120180215075000000088501000027243000272982
0840687Bulluck        Darya     320180201100000000049802000093800000821833
9501249Pritchett      Sal       220190801075000000091302000099106000196510
3153518Levane         Tomas     220180415075000000017202000096071000438576
0080201Chansonne      Shelley   220200215075000000083201000078305000918998
6231536Showering      Guntar    120180715100000000094001000055937000535835
6834229Sanchiz        Denys     320180301075000000015601000072809000451125
4306418Farnell        Minetta   120190501100000000060802000009664000578469
7749728Guidetti       Reynold   220190501075000000017801000008648000021143
9885801Bart           Gabriel   120200215075000000027902000018500000423473
4264177Fisby          Leoline   220180501075000000027801000086474000847605
4687730Crepel         Evan      220200415075000000039701000041632000494087
5379482Bromilow       Kiel      120180701100000000069202000016919000770164
5065696Bineham        Davey     120180315075000000037102000065475000067542
7926834Molineaux      Brooks    320180901075000000013902000050559000750252
5756388Kearley        Carola    220201215075000000026102000086136000185073
1478002Gowling        Orsola    120180115075000000087101000062096000941420
8378212Pope           Madella   220201115100000000009602000057488000098755
4263642Turfin         Karalynn  320200715075000000015902000079499000771277
1796776Shayler        Peg       320180701100000000053402000038854000507919
1880322Yerby          Smitty    120190501075000000010702000086445000143715
9354909Nashe          Grove     120180901100000000054901000012011000043174
6855867Artingstall    Arluene   220201115100000000070201000082837000711874
5774662Spataro        Stanislaus220191215075000000004901000001180000026686
6012997Wenham         Lynsey    220190201100000000018601000033845000191654
8785463McVeagh        Constantin320180401100000000051301000059677000911814
9874518Connechie      Catherin  320200515075000000097702000047489000203413
1753314Hurdiss        Marget    320180501100000000035501000087405000975996
4690282Browning       Hew       120201015100000000011001000054195000998444
8996786Sinney         Lucias    320191201100000000005802000092077000169182
4311969Speddin        Umberto   220181001100000000043601000033242000637246
3598568Hiscoke        Maynord   120191101100000000015901000007098000478688
1867841Foale          Nerita    220190501075000000077701000023090000366853
4194245Ickovitz       Gothart   120190615075000000001501000092726000482384
9187158Malatalant     Shanta    320180415075000000009502000004462000210909
5339014Peskett        Amii      320191215075000000032002000003191000160799
3044043Sutor          Laurena   320200715075000000094901000053473000944371
3023790Trainer        Ulrike    120180215075000000039301000035635000604025
3398859McKnockiter    Dallis    320180915100000000046601000089155000191528
8349665Penhale        Sunny     120200301100000000056502000027036000479442
6326646Gandy          Beltran   220201001075000000077202000087554000086392
1647842Titford        Torry     320200315075000000086801000076856000381055
9534762Sayre          Rusty     120180715100000000018701000094084000845847
7385451Caser          Sumner    120201001100000000002001000044937000662276
6735178Mapletoft      Ray       220200815100000000086502000057044000827189
7999503Zanicchi       Gerrard   120180301075000000081201000017105000700945
1445972Micheli        Terza     120200501075000000069102000096101000231687
7736431Cabera         Urson     220180415075000000001102000001446000314603
8603393Motton         Oates     220180815075000000039801000061096000244652
7658709McOmish        Maudie    120200601100000000093601000061209000359395
7570307Jachimczak     Ogdon     220180915075000000010201000008284000992993
3191900McCurley       Bernita   120190115075000000034802000014429000724822
4497447Seeks          Marcello  320180601100000000097101000062293000923082
9697911Geharke        Kippy     120200115075000000017102000080311000415744
5414300Sterland       Regine    220190101100000000040402000069659000572602
6629956Morphew        Stacy     120190501075000000055802000000448000453625
2256157Greenhouse     Lionello  120200401075000000008001000081904000154256
0291066Bareford       Thorvald  220190901075000000000202000099441000595173
7239615Pedden         Boothe    220180801075000000047601000099260000444129
3770381Sinden         Niels     120190915100000000049602000033220000179646
0013123Dymidowicz     Owen      320180501075000000014202000018243000024529
7827043Slate          Llywellyn 120180501075000000009202000080972000419961
0804999Joutapaitis    Elissa    120180615075000000043101000052292000761772
0610494Lory           Rasia     220181201100000000026501000020645000688516
4684532Maybury        Drucie    120191015075000000083001000082829000603645
7902897Merrill        Holmes    320180215075000000028801000076675000529601
5798829Rosenfarb      Ofella    220190501100000000006002000059358000126045
7071811Almey          Tallie    320190101100000000082102000079165000343771
3898282Olivari        Corliss   320180515075000000040501000012887000891161
2826323McCreedy       Karel     120190701100000000099601000096357000504660
0373842Sketh          Margarete 220190215075000000024801000087182000726785
6300772Tzar           Ruthann   320190101075000000084201000096990000560475
2485038Linke          Charleen  320200115100000000038001000064771000187369
3423985Spata          Karia     220200801075000000090302000016596000844187
2886284Rodrigo        Lynda     320200801100000000035102000054228000297298
0599389Gladeche       Stormi    120181101075000000006201000009532000213962
0595444Carbin         Mavis     320200901075000000070902000062900000018441
1697096Cohr           Maria     320180301075000000046702000075823000157960
6837376Stefi          Merl      320201001100000000031002000004791000901070
5119326Roach          Eda       220180415075000000002701000045108000218967
3425657Waiting        Camel     320191001100000000093401000051205000577994
6145381Sinderland     Shaine    120191215075000000006901000094755000637969
5645250McPaike        Jessey    320180901075000000021302000034102000879537
5081751Swallow        Gaspar    220201115100000000041002000037515000881825
1630797Clougher       Bard      320200615100000000075202000005085000790699
5604492Leinthall      Zabrina   120191101075000000088901000033809000877294
0550400Hew            Morrie    320180301100000000003201000046397000997666
8920525Gresley        Lorrie    320190601100000000042001000096187000297940
9200509Trappe         Bess      220190715100000000049401000057276000199879
4360265Lomath         Ximenes   120200801100000000029802000047050000984748
1812623Balmforth      Krishna   320200801075000000024602000066808000681535
